Process,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,num_total,num_local,num_remote,L
P0,88,1,3,2,3,3,1,3,1,1,5,2,4,0,2,3,1,1,0,3,1,2,1,7,1,1,1,0,1,1,5,2,150,88,62,2151.0536847012004
P1,0,84,3,1,1,1,0,0,0,0,4,0,1,0,0,0,1,0,0,0,3,1,0,2,0,0,1,2,5,0,6,3,119,84,35,2171.7629361212003
P2,1,1,63,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,6,88,63,25,2181.4363618022003
P3,3,1,3,84,5,1,1,0,0,0,0,0,0,0,1,1,0,3,0,0,3,3,1,4,0,1,3,0,1,3,6,1,129,84,45,2160.9710564590005
P4,0,1,9,0,68,1,5,4,0,1,1,2,1,3,2,7,3,1,0,2,3,5,1,1,0,1,3,0,3,1,3,2,134,68,66,2166.4113268834003
P5,0,1,0,2,3,76,0,0,1,0,3,1,1,0,1,1,1,1,0,1,1,0,6,1,0,0,3,3,5,3,1,1,117,76,41,2163.0165982206004
P6,0,0,1,1,1,1,84,0,0,0,1,0,0,0,1,0,1,0,0,4,0,5,1,4,0,3,1,3,3,3,0,3,121,84,37,2179.1875243353998
P7,3,1,2,0,3,7,1,88,1,0,3,1,1,3,3,2,3,3,0,0,3,1,1,0,1,1,7,0,1,1,2,1,144,88,56,2148.6047425198003
P8,1,2,1,0,3,1,1,0,92,0,2,1,1,0,3,7,3,0,0,0,0,1,1,5,1,1,3,1,1,4,1,0,137,92,45,2173.2565908548004
P9,1,0,3,0,1,1,0,1,2,96,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,2,3,5,1,3,0,125,96,29,2150.0705409094003
P10,0,1,0,1,0,0,1,0,2,0,76,0,1,0,2,1,1,0,0,0,1,1,0,4,1,3,3,1,1,2,2,3,108,76,32,2156.6819295888004
P11,1,1,0,3,4,1,0,1,0,0,1,92,0,0,0,0,0,5,0,0,1,0,0,1,0,0,1,1,1,1,3,0,118,92,26,2157.4163527552
P12,0,0,0,0,1,1,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6,1,95,84,11,2183.1294050112
P13,0,1,1,0,3,1,3,0,1,0,1,0,2,92,0,0,0,0,0,0,0,1,1,1,1,1,0,0,3,1,1,0,115,92,23,2147.8659415244
P14,0,1,3,0,3,0,1,1,0,1,0,0,3,0,84,1,2,0,0,0,1,0,1,0,1,0,1,0,3,2,1,0,110,84,26,2155.4752516934
P15,1,3,3,1,1,3,1,0,0,1,2,0,0,1,1,76,0,0,0,2,0,0,1,1,3,0,1,1,2,1,1,1,108,76,32,2134.5849819148
P16,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,84,2,0,0,2,1,0,0,0,0,0,0,3,0,0,5,100,84,16,2186.662119879
P17,1,0,1,3,0,0,1,0,0,0,0,0,0,0,0,1,0,84,0,0,0,1,1,2,1,0,1,0,3,2,0,1,103,84,19,2170.634086148
P18,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,100,4,0,0,2,0,1,2,0,0,1,0,1,1,117,100,17,2145.6093807368
P19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,84,84,0,2349.8849315591997
P20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,81,80,1,2251.580067642
P21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,77,77,0,3588.3461241782
P22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,81,81,0,3840.4569482802
P23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,67,67,0,3147.2230153068
P24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,89,89,0,4201.7098646041995
P25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,0,85,85,0,3987.5611138370004
P26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,69,69,0,5000.6202235194005
P27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,85,85,0,6149.4104624
P28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,53,53,0,5755.292323599999
P29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,69,69,0,7444.587068076
P30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,53,53,0,5723.8728799770015
P31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69,69,0,7417.992243281401
